ds,yhat,yhat_lower,yhat_upper,y
2014-01-01,82.06992683746572,-1.985828837712456,162.62790661088533,0.0
2014-01-02,63.04558060633566,-27.405949098192394,150.50230891596016,70.0
2014-01-03,71.90545142857341,-8.856862292995023,163.39164330824133,59.0
2014-01-04,120.99933754129883,38.093207313832664,207.00683429880732,93.0
2014-01-05,73.83805605347598,-7.580714063957069,152.3491227704484,96.0
2014-01-06,44.51038857439858,-39.79627692276444,123.60508494226323,145.0
2014-01-07,41.63133131345168,-38.025145833230525,127.03546052535198,179.0
2014-01-08,66.12247154076074,-18.252251598922893,153.55884053871117,321.0
2014-01-09,51.753932650024886,-34.286463382397926,131.9348899737035,125.0
2014-01-10,65.58978481317985,-24.03096347768304,154.061119795533,88.0
2014-01-11,119.86766942074978,35.010333874334385,203.38531371532412,188.0
2014-01-12,77.98200356403362,-7.726255002817893,166.28404775014187,121.0
2014-01-13,53.90346504689745,-27.04489735093865,135.8394595785601,134.0
2014-01-14,56.12979976917125,-32.509824706075,135.93037408730518,80.0
2014-01-15,85.46871767040963,-7.4122449089213935,165.1146969096838,82.0
2014-01-16,75.58226521403597,-8.981390954448203,154.50446261941147,94.0
2014-01-18,151.17330616200104,69.74300960093187,237.01481504017883,159.0
2014-01-19,112.11525851651247,26.07790739437543,191.12729400399948,199.0
2014-01-20,90.16689024444499,5.733714480403532,169.91149624274811,104.0
2014-01-21,93.77668288683195,10.843377204371942,173.71239170078292,70.0
2014-01-22,123.7189357027313,39.19773535210319,206.6751271185619,127.0
2014-01-23,113.63874711375229,31.682819379906867,199.04964817994465,96.0
2014-01-24,130.49996411580102,42.81431809959397,209.96363122219626,75.0
2014-01-25,186.4667984096024,101.69135794898314,269.88664595259667,198.0
2014-01-26,144.88843844056464,58.82901209147265,232.13387524217444,168.0
2014-01-27,119.71933375826184,31.266049016360277,207.67732894516317,125.0
2014-01-28,119.4701828021395,36.11418095581839,202.20739445171813,86.0
2014-01-29,144.99039293518547,61.61621048975436,241.38056045600607,222.0
2014-01-30,130.01141646584855,46.30214363842387,210.86386337901257,272.0
2014-01-31,141.59283636030756,61.065188692449766,229.60337410904415,209.0
2014-02-01,192.0019420712752,104.73880982913181,273.9211162154243,369.0
2014-02-02,144.69616947904598,60.05138446436689,228.34409643461137,217.0
2014-02-03,113.74112817388281,29.391089427820884,199.90840143013156,97.0
2014-02-04,107.75929538394084,24.751824159945645,194.79490618436608,117.0
2014-02-05,127.71019325320293,45.83743404607811,213.17289527605678,100.0
2014-02-06,107.43150043628806,25.995326290747418,191.4616708517466,64.0
2014-02-07,114.08301691386772,39.26151788182575,197.5424589045143,35.0
2014-02-08,160.02426485286958,76.27369540282456,241.94375661970417,54.0
2014-02-09,108.79513823782654,26.44026258987186,186.5368478349075,55.0
2014-02-12,83.95285101899101,-1.2110344883919293,167.14005657698135,8.0
2014-02-13,62.50829133863374,-25.052005354304463,138.3649153554273,43.0
2014-02-14,68.75827381317009,-15.895775111872931,151.20114094577744,107.0
2014-02-15,115.0625349452074,34.571094368334876,201.43899030738072,116.0
2014-02-16,64.94624673922257,-21.453065907109735,146.32049304541923,87.0
2014-02-17,32.51692630141588,-51.925536654047015,118.77403644443017,66.0
2014-02-18,26.4125463888468,-58.239633733756165,110.07470367232564,44.0
2014-02-19,47.58166900651589,-38.47792641375745,127.34594113639344,33.0
2014-02-20,29.825047100943102,-56.655664626882455,116.21876868836758,13.0
2014-02-21,40.24059673558907,-44.55881378077466,126.4834818525924,53.0
2014-02-22,91.1024958244978,11.393643615816764,174.27145198421735,72.0
2014-02-23,45.84378589414203,-30.625652002255606,136.99998629740116,50.0
2014-02-24,18.475189685668838,-66.59904322521086,101.04782499521498,15.0
2014-02-25,17.53520057439961,-71.241670183935,100.7536067078118,12.0
2014-02-26,43.87222562234827,-35.8417462594159,126.44063120919832,71.0
2014-02-27,31.188186964056158,-50.23777695805053,116.75328245347251,37.0
2014-02-28,46.48544429485998,-33.06099927528824,132.81191475353705,83.0
2014-03-01,101.94775640420536,24.487545001603944,181.37024360232184,94.0
2014-03-02,60.92462229799307,-22.745358275435834,143.3727990322721,59.0
2014-03-03,37.351681655385164,-41.33188520758195,117.97765224445519,49.0
2014-03-05,68.7704017664162,-13.745086772790506,152.29174085329095,65.0
2014-03-06,58.216013816331845,-30.048683303294627,142.24804126956622,55.0
2014-03-07,75.01190065577583,-6.313476393973864,162.16510442349758,77.0
2014-03-08,131.3254630526297,39.78414199894743,213.83387719841735,122.0
2014-03-09,90.50315520306648,7.399899032020345,177.6498528170445,83.0
2014-03-10,66.49079239028632,-14.783721407270898,153.03602642292816,75.0
2014-03-11,67.78468069447706,-18.69104863883313,149.61151667289928,48.0
2014-03-12,95.21433430103548,9.802165958828652,177.89575355972252,45.0
2014-03-13,82.48617810357395,-0.8489247822142736,169.2871849534063,78.0
2014-03-14,96.63010068946,14.350138528939327,187.90343993095283,122.0
2014-03-16,105.65479267003462,29.233141629600457,186.2159921021842,116.0
2014-03-17,77.98126537209056,-7.659394730947921,163.47153856227916,48.0
2014-03-18,75.43938151671368,-8.532744801944503,155.04958023283388,29.0
2014-03-19,98.94529278090505,11.984003220458927,182.07337362246852,91.0
2014-03-20,82.2928190011028,-5.55659111530188,165.0555905680949,59.0
2014-03-21,92.59818768381174,7.320844600767689,174.33531147057008,68.0
2014-03-22,142.17838591106462,59.10370817185991,226.3890911273033,137.0
2014-03-23,94.53252099665681,11.713836537369726,184.6858582746891,56.0
2014-03-24,63.75893244716708,-17.269211336199366,150.94270946719374,13.0
